ID,URL,Title,Difficulty,Acceptance %,Frequency %,Frequency,Weight,PriorityScore,Completed
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,65.9%,37.5%,37.5,2,75.0,No
214,https://leetcode.com/problems/shortest-palindrome,Shortest Palindrome,Hard,41.8%,25.0%,25.0,3,75.0,No
130,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,Medium,44.7%,37.5%,37.5,2,75.0,No
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.6%,37.5%,37.5,2,75.0,No
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,60.9%,37.5%,37.5,2,75.0,No
2296,https://leetcode.com/problems/design-a-text-editor,Design a Text Editor,Hard,49.9%,25.0%,25.0,3,75.0,No
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,60.9%,37.5%,37.5,2,75.0,No
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.6%,25.0%,25.0,3,75.0,No
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,48.9%,37.5%,37.5,2,75.0,No
1339,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree,Maximum Product of Splitted Binary Tree,Medium,55.5%,37.5%,37.5,2,75.0,No
3738,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element,Longest Non-Decreasing Subarray After Replacing at Most One Element,Medium,21.4%,37.5%,37.5,2,75.0,No
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,72.2%,37.5%,37.5,2,75.0,No
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,67.5%,25.0%,25.0,3,75.0,No
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.6%,25.0%,25.0,3,75.0,No
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,68.7%,37.5%,37.5,2,75.0,No
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,73.5%,37.5%,37.5,2,75.0,No
518,https://leetcode.com/problems/coin-change-ii,Coin Change II,Medium,60.5%,37.5%,37.5,2,75.0,No
493,https://leetcode.com/problems/reverse-pairs,Reverse Pairs,Hard,33.7%,25.0%,25.0,3,75.0,No
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,53.1%,25.0%,25.0,3,75.0,No
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.1%,37.5%,37.5,2,75.0,No
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.4%,37.5%,37.5,2,75.0,No
1368,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,70.9%,25.0%,25.0,3,75.0,No
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.4%,37.5%,37.5,2,75.0,No
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,37.5%,37.5,2,75.0,No
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,66.1%,37.5%,37.5,2,75.0,No
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.1%,37.5%,37.5,2,75.0,No
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.3%,37.5%,37.5,2,75.0,No
142,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,Medium,57.2%,37.5%,37.5,2,75.0,No
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,55.5%,37.5%,37.5,2,75.0,No
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.1%,37.5%,37.5,2,75.0,No
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.6%,37.5%,37.5,2,75.0,No
178,https://leetcode.com/problems/rank-scores,Rank Scores,Medium,67.1%,37.5%,37.5,2,75.0,No
1015,https://leetcode.com/problems/smallest-integer-divisible-by-k,Smallest Integer Divisible by K,Medium,54.3%,37.5%,37.5,2,75.0,No
3481,https://leetcode.com/problems/apply-substitutions,Apply Substitutions,Medium,77.4%,37.5%,37.5,2,75.0,No
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.5%,25.0%,25.0,3,75.0,No
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.5%,37.5%,37.5,2,75.0,No
60,https://leetcode.com/problems/permutation-sequence,Permutation Sequence,Hard,52.1%,25.0%,25.0,3,75.0,No
2534,https://leetcode.com/problems/time-taken-to-cross-the-door,Time Taken to Cross the Door,Hard,50.1%,25.0%,25.0,3,75.0,No
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,44.7%,37.5%,37.5,2,75.0,No
2872,https://leetcode.com/problems/maximum-number-of-k-divisible-components,Maximum Number of K-Divisible Components,Hard,74.1%,25.0%,25.0,3,75.0,No
137,https://leetcode.com/problems/single-number-ii,Single Number II,Medium,66.7%,37.5%,37.5,2,75.0,No
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.3%,37.5%,37.5,2,75.0,No
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.2%,37.5%,37.5,2,75.0,No
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.1%,25.0%,25.0,3,75.0,No
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.4%,37.5%,37.5,2,75.0,No
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.4%,37.5%,37.5,2,75.0,No
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,53.5%,37.5%,37.5,2,75.0,No
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,41.1%,25.0%,25.0,3,75.0,No
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.1%,37.5%,37.5,2,75.0,No
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.2%,75.0%,75.0,1,75.0,No
2141,https://leetcode.com/problems/maximum-running-time-of-n-computers,Maximum Running Time of N Computers,Hard,56.4%,25.0%,25.0,3,75.0,No
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,35.7%,37.5%,37.5,2,75.0,No
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.1%,75.0%,75.0,1,75.0,No
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.5%,37.5%,37.5,2,75.0,No
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.2%,37.5%,37.5,2,75.0,No
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,58.9%,37.5%,37.5,2,75.0,No
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.4%,37.5%,37.5,2,75.0,No
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.0%,37.5%,37.5,2,75.0,No
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.0%,37.5%,37.5,2,75.0,No
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,50.5%,37.5%,37.5,2,75.0,No
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,59.7%,37.5%,37.5,2,75.0,No
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,53.5%,37.5%,37.5,2,75.0,No
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.0%,37.5%,37.5,2,75.0,No
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.5%,37.5%,37.5,2,75.0,No
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,73.7%,37.5%,37.5,2,75.0,No
417,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,60.6%,37.5%,37.5,2,75.0,No
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.8%,25.0%,25.0,3,75.0,No
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.7%,37.5%,37.5,2,75.0,No
